,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
10498,Bujingai: The Forsaken City,16,2003.0,2,6,0.05,0.04,0.0,0.01,0.1,72.0,28.0,7.5,14.0,1435,7
10499,Doko Demo Issho,19,2004.0,3,458,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10500,Universe at War: Earth Assault,28,2008.0,0,448,0.09,0.01,0.0,0.01,0.1,66.0,44.0,8.3,57.0,1101,7
10501,Barbie in The 12 Dancing Princesses,4,2007.0,1,21,0.09,0.01,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1628,1
10502,Gem Quest: 4 Elements,4,2011.0,5,305,0.05,0.05,0.0,0.01,0.1,70.0,4.0,7.8,4.0,772,1
10503,Beyond Good & Evil,29,2003.0,1,528,0.08,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10504,Death By Degrees,16,2005.0,0,458,0.05,0.04,0.0,0.01,0.1,51.0,45.0,6.2,24.0,978,5
10505,Just In Time Translations,4,2009.0,3,491,0.1,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1420,1
10506,Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,15,1995.0,2,55,0.0,0.0,0.1,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10507,Vandal Hearts II,15,1999.0,11,277,0.06,0.04,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10508,Samurai Warriors Chronicles 2nd,2,2012.0,0,529,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10509,Rome: Total War,13,2004.0,11,21,0.0,0.09,0.0,0.02,0.1,92.0,58.0,9.1,1050.0,337,7
10510,Toaru Majutsu no Index,19,2011.0,1,265,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10511,Doom 3,13,2004.0,8,21,0.05,0.04,0.0,0.01,0.1,87.0,83.0,7.6,896.0,1686,5
10512,WireWay,4,2009.0,1,277,0.1,0.0,0.0,0.01,0.1,62.0,9.0,7.8,4.0,815,1
10513,Astro Boy: The Video Game,4,2009.0,0,110,0.09,0.0,0.0,0.01,0.1,34.0,9.0,7.8,4.0,102,1
10514,Uta no Prince-Sama: Music,19,2011.0,3,78,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10515,UNO / Skip-Bo / UNO Freefall,4,2006.0,3,569,0.1,0.0,0.0,0.01,0.1,59.0,5.0,7.8,4.0,207,1
10516,Ride,30,2015.0,6,330,0.04,0.05,0.0,0.01,0.1,54.0,9.0,5.3,17.0,946,1
10517,Culdcept DS,4,2008.0,11,448,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10518,NASCAR The Game: Inside Line,28,2012.0,6,21,0.09,0.0,0.0,0.01,0.1,72.0,7.0,3.4,27.0,504,1
10519,How to Train Your Dragon 2,17,2014.0,1,288,0.03,0.06,0.0,0.02,0.1,70.0,4.0,7.8,4.0,1502,2
10520,JU-ON: The Grudge,26,2009.0,0,432,0.07,0.01,0.01,0.01,0.1,39.0,32.0,5.6,34.0,527,5
10521,Yu-Gi-Oh! 5D's Wheelie Breakers,26,2009.0,6,277,0.09,0.01,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10522,Colin McRae Rally 04,29,2004.0,6,91,0.08,0.02,0.0,0.0,0.1,84.0,33.0,8.1,19.0,305,1
10523,The King of Fighters: Dream Match 1999,3,1999.0,2,439,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10524,Monster Jam: Maximum Destruction,6,2002.0,6,528,0.07,0.03,0.0,0.0,0.1,58.0,8.0,7.8,4.0,1534,1
10525,FIFA Street,29,2005.0,10,139,0.08,0.02,0.0,0.0,0.1,60.0,21.0,8,9.0,431,1
10526,Weiss Schwarz Portable,19,2011.0,11,349,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10527,Dora's Big Birthday Adventure,26,2010.0,3,497,0.09,0.01,0.0,0.01,0.1,70.0,4.0,7.8,4.0,666,1
10528,The Sims 4: City Living,13,2016.0,9,139,0.02,0.08,0.0,0.01,0.1,77.0,10.0,5.7,30.0,909,7
10529,Kirarin * Revolution: Mezase! Idol Queen,4,2007.0,9,277,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10530,Dungeons & Dragons Tactics,19,2007.0,11,53,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10531,X-Men: Children of the Atom,15,1998.0,2,17,0.06,0.04,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10532,Hot Wheels: Stunt Track Challenge,29,2004.0,6,491,0.08,0.02,0.0,0.0,0.1,63.0,11.0,6.2,5.0,299,1
10533,America's Next Top Model,4,2008.0,0,138,0.1,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,113,2
10534,Blitz: The League II,28,2008.0,10,327,0.08,0.01,0.0,0.01,0.1,68.0,34.0,7.2,13.0,938,5
10535,Math Blaster in the Prime Adventure,4,2009.0,3,298,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,805,1
10536,Blue Stinger,3,1999.0,1,21,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10537,Shellshock,15,1995.0,0,100,0.06,0.04,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10538,Miami Law,4,2009.0,1,277,0.09,0.0,0.0,0.01,0.1,56.0,14.0,8.8,4.0,680,7
10539,Hot Wheels Ultimate Racing,19,2007.0,0,21,0.09,0.0,0.0,0.01,0.1,60.0,6.0,7.8,4.0,1178,1
10540,Capcom vs. SNK 2 EO,29,2003.0,2,85,0.08,0.02,0.0,0.0,0.1,80.0,26.0,8.7,13.0,268,7
10541,Inazuma Eleven GO Strikers 2013,26,2012.0,7,283,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10542,Metal Gear Solid HD Edition,17,2011.0,0,277,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10543,Hunter: The Reckoning,7,2002.0,0,545,0.08,0.02,0.0,0.0,0.1,70.0,13.0,7.6,7.0,666,5
10544,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,4,2007.0,3,389,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10545,PictoImage,4,2007.0,5,448,0.09,0.0,0.0,0.01,0.1,61.0,11.0,7.8,4.0,1289,1
10546,Urban Chaos,15,1999.0,0,138,0.06,0.04,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10547,Alvin and the Chipmunks: Chipwrecked,4,2011.0,3,6,0.06,0.03,0.0,0.01,0.1,70.0,4.0,7.8,4.0,172,2
10548,Creeper World 3: Arc Eternal,26,2009.0,11,349,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10549,DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,4,2007.0,3,451,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10550,PDC World Championship Darts: Pro Tour,17,2010.0,10,372,0.0,0.08,0.0,0.02,0.1,70.0,4.0,7.8,4.0,1539,1
10551,Heavy Fire: Afghanistan,26,2011.0,8,306,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1475,7
10552,Freaky Flyers,16,2003.0,6,327,0.05,0.04,0.0,0.01,0.1,66.0,20.0,7.8,4.0,942,7
10553,Baten Kaitos Origins,7,2006.0,7,533,0.06,0.02,0.02,0.0,0.1,75.0,21.0,8.9,23.0,964,7
10554,E·O·E: Eve of Extinction,16,2002.0,2,138,0.04,0.03,0.02,0.01,0.1,57.0,28.0,7.2,6.0,1652,7
10555,Football Manager 2014,20,2013.0,10,448,0.0,0.08,0.0,0.02,0.1,70.0,4.0,7.8,4.0,1539,1
10556,Dark Summit,29,2001.0,10,491,0.08,0.02,0.0,0.0,0.1,71.0,26.0,7.8,4.0,1167,7
10557,Penguin no Mondai: The World,4,2010.0,1,277,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10558,Flushed Away,4,2006.0,4,110,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10559,NHL 2004,7,2003.0,10,139,0.08,0.02,0.0,0.0,0.1,85.0,18.0,8.4,7.0,449,1
10560,Hakuouki Portable,19,2009.0,1,233,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10561,Surf's Up,28,2007.0,10,528,0.09,0.0,0.0,0.01,0.1,61.0,15.0,6.1,9.0,1539,2
10562,Monkey Island: Special Edition Collection,17,2011.0,1,21,0.0,0.08,0.0,0.02,0.1,70.0,4.0,7.8,4.0,1539,1
10563,Cabela's Adventure Camp,28,2011.0,3,21,0.07,0.02,0.0,0.01,0.1,70.0,4.0,7.8,4.0,47,1
10564,X-Men: The Official Game,29,2006.0,0,21,0.08,0.02,0.0,0.0,0.1,53.0,38.0,8.1,7.0,1654,7
10565,RLH: Run Like Hell,16,2002.0,8,545,0.05,0.04,0.0,0.01,0.1,58.0,27.0,8.2,9.0,404,5
10566,Digimon Adventure,19,2013.0,7,349,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10567,Backyard Baseball '10,26,2009.0,10,53,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,523,1
10568,Scribblenauts Unmasked: A DC Comics Adventure,27,2013.0,5,552,0.09,0.0,0.0,0.01,0.1,71.0,17.0,6.3,39.0,29,2
10569,The Ant Bully,16,2006.0,4,327,0.05,0.04,0.0,0.01,0.1,52.0,19.0,4.2,6.0,108,2
10570,Conflict: Global Terror,29,2005.0,8,438,0.08,0.02,0.0,0.0,0.1,62.0,24.0,7.9,8.0,1114,5
10571,Minority Report: Everybody Runs,7,2002.0,0,21,0.08,0.02,0.0,0.0,0.1,53.0,19.0,7.8,4.0,1514,7
10572,Monster Rancher EVO,16,2005.0,7,503,0.02,0.02,0.05,0.01,0.1,58.0,16.0,6.8,8.0,1460,2
10573,Football Director DS,4,2008.0,10,400,0.0,0.1,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10574,Project Hacker: Kakusei,4,2006.0,0,361,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10575,SimAnimals Africa,4,2009.0,9,139,0.08,0.02,0.0,0.01,0.1,70.0,4.0,7.8,4.0,477,1
10576,Karaoke Revolution,17,2009.0,3,277,0.07,0.02,0.0,0.01,0.1,66.0,8.0,7.8,4.0,215,7
10577,Terraria,20,2013.0,0,446,0.0,0.01,0.09,0.0,0.1,85.0,17.0,7.8,112.0,485,7
10578,Guitar Hero: Van Halen,16,2009.0,3,21,0.05,0.04,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1004,7
10579,The Whispered World,13,2009.0,1,121,0.0,0.08,0.0,0.02,0.1,70.0,41.0,7.6,77.0,369,1
10580,Olympic Summer Games: Atlanta 1996,15,1996.0,10,524,0.06,0.04,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10581,Disney's The Haunted Mansion,7,2003.0,4,497,0.08,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10582,Tatsunoko vs. Capcom: Cross Generation of Heroes,26,2008.0,2,85,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10583,Alvin and the Chipmunks: Chipwrecked,28,2011.0,3,6,0.09,0.01,0.0,0.01,0.1,70.0,4.0,5.1,8.0,172,2
10584,Water Sports,26,2009.0,0,57,0.05,0.04,0.0,0.01,0.1,70.0,4.0,7.8,4.0,47,1
10585,Agatha Christie: The ABC Murders,4,2009.0,1,259,0.08,0.01,0.0,0.01,0.1,53.0,11.0,6.5,4.0,425,7
10586,KORG DS-10 Synthesizer Plus,4,2009.0,3,11,0.07,0.0,0.02,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10587,Darius Gaiden,21,1995.0,8,17,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10588,Help Wanted: 50 Wacky Jobs,26,2008.0,9,227,0.06,0.03,0.0,0.01,0.1,65.0,12.0,7,5.0,681,2
10589,All Kamen Rider: Rider Generation 2,4,2012.0,0,349,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10590,Beach Spikers: Virtua Beach Volleyball,7,2002.0,10,448,0.08,0.02,0.0,0.0,0.1,76.0,31.0,8.1,9.0,1290,1
10591,Draglade,4,2007.0,2,6,0.09,0.0,0.0,0.01,0.1,71.0,23.0,7.5,4.0,405,2
10592,Scribblenauts Unmasked: A DC Comics Adventure,2,2013.0,5,552,0.09,0.0,0.0,0.01,0.1,68.0,7.0,6.2,20.0,29,2
10593,Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,28,2009.0,7,66,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,176,5
10594,You Don't Know Jack: Mock 2,15,2000.0,3,548,0.06,0.04,0.0,0.01,0.1,82.0,6.0,7.8,4.0,766,1
10595,3D Tank Warfare Simulator Panzer Front,15,1999.0,9,56,0.06,0.04,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10596,Jade Cocoon 2,16,2001.0,7,528,0.05,0.04,0.0,0.01,0.1,76.0,16.0,7.8,22.0,605,7
10597,Lord of Apocalypse,20,2011.0,7,467,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10598,Igor: The Game,26,2008.0,1,82,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1275,1
10599,Kabushiki Baibai Trainer: Kabutore!,4,2006.0,9,277,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10600,Dancing on Ice,26,2010.0,10,196,0.0,0.09,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10601,Mana Khemia: Student Alliance,19,2008.0,7,364,0.06,0.0,0.03,0.01,0.1,41.0,19.0,5.3,37.0,635,2
10602,The Destiny of Zorro,26,2009.0,0,6,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1142,2
10603,Sword & Sorcery,21,1996.0,7,322,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10604,Van Helsing,6,2004.0,0,21,0.07,0.03,0.0,0.0,0.1,33.0,11.0,6.3,6.0,1269,7
10605,Bee Movie Game,16,2007.0,0,21,0.05,0.04,0.0,0.01,0.1,65.0,11.0,7.5,4.0,168,1
10606,Resident Evil: Revelations 2,20,2015.0,0,85,0.0,0.03,0.07,0.01,0.1,65.0,12.0,7.8,63.0,549,5
10607,Record of Agarest War Zero,28,2010.0,11,98,0.09,0.0,0.0,0.01,0.1,70.0,4.0,6.8,17.0,1163,7
10608,HOP,4,2011.0,4,6,0.08,0.01,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10609,USA Today Puzzle Craze,4,2009.0,5,123,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,392,1
10610,Machi-Ing Maker 3 x Tousouchuu,19,2010.0,9,110,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10611,Truth or Lies,26,2010.0,3,491,0.04,0.05,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1420,7
10612,Kelly Slater's Pro Surfer,29,2002.0,10,21,0.08,0.02,0.0,0.0,0.1,80.0,15.0,8,5.0,1514,1
10613,My Healthy Cooking Coach,4,2008.0,9,533,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10614,SNK vs. Capcom: SVC Chaos,29,2004.0,2,235,0.08,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10615,NFL Tour,28,2008.0,10,139,0.09,0.0,0.0,0.01,0.1,49.0,35.0,3.1,45.0,453,1
10616,Master of the Monster Lair,4,2007.0,7,432,0.09,0.0,0.0,0.01,0.1,56.0,8.0,7.8,4.0,612,2
10617,Harry Potter and the Deathly Hallows - Part 1,13,2010.0,0,139,0.08,0.02,0.0,0.01,0.1,37.0,5.0,4.1,33.0,430,7
10618,Sudoku Mania,4,2006.0,5,569,0.09,0.0,0.0,0.01,0.1,25.0,4.0,3.5,4.0,553,1
10619,Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,16,2005.0,4,201,0.05,0.04,0.0,0.01,0.1,49.0,9.0,8,11.0,666,2
10620,Choujikuu Yousai Macross: Ai Oboete Imasu ka,21,1997.0,8,349,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10621,Resident Evil: Revelations 2,30,2015.0,0,85,0.07,0.02,0.0,0.01,0.1,75.0,22.0,7.5,106.0,268,5
10622,Thief (2014),13,2014.0,0,467,0.0,0.09,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10623,Vanishing Point,15,2001.0,6,17,0.06,0.04,0.0,0.01,0.1,68.0,11.0,7.8,4.0,302,1
10624,Dragonseeds,15,1998.0,0,257,0.03,0.02,0.04,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10625,The Bard's Tale,29,2004.0,7,528,0.08,0.02,0.0,0.0,0.1,75.0,50.0,8.8,4.0,716,7
10626,Nodame Cantabile,4,2007.0,3,349,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10627,The History Channel: Civil War - Secret Missions,17,2008.0,8,21,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10628,Alien Hominid,16,2004.0,8,569,0.05,0.04,0.0,0.01,0.1,78.0,47.0,8.3,13.0,1477,7
10629,World Snooker Championship 2007,17,2007.0,10,448,0.0,0.1,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10630,L'Aigle de Guerre,6,2001.0,11,361,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10631,Earth Defense Force 2025.1: The Shadow of New Despair,18,2015.0,0,110,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10632,Lode Runner 3-D,10,1998.0,0,244,0.08,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10633,Indy Racing 2000,10,2000.0,6,244,0.08,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10634,GT64 Championship Edition,10,1998.0,6,374,0.08,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10635,Milo's Astro Lanes,10,1998.0,10,248,0.08,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10636,Jeopardy!,10,1998.0,3,186,0.08,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10637,Disney's Donald Duck: Goin' Quackers,10,2000.0,4,528,0.08,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10638,Aidyn Chronicles: The First Mage,10,2001.0,7,491,0.08,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10639,Virtual Pool 64,10,1998.0,10,101,0.08,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10640,Flying Dragon,10,1997.0,2,350,0.08,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10641,International Superstar Soccer 64 (weekly JP sales),10,1997.0,10,277,0.0,0.0,0.05,0.05,0.1,70.0,4.0,7.8,4.0,1539,1
10642,Gekido,15,1999.0,2,244,0.06,0.04,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10643,Myst,4,2007.0,1,327,0.09,0.0,0.0,0.01,0.1,43.0,25.0,3.5,6.0,674,1
10644,Sword Art Online: Lost Song,17,2015.0,7,349,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10645,Disney's The Jungle Book,6,2002.0,4,528,0.07,0.03,0.0,0.0,0.1,60.0,4.0,7.8,4.0,1607,1
10646,Puss in Boots,4,2011.0,0,491,0.08,0.01,0.0,0.01,0.1,70.0,4.0,7.8,4.0,710,1
10647,Tom Clancy's Ghost Recon: Predator,19,2010.0,8,528,0.07,0.02,0.0,0.02,0.1,54.0,15.0,7.8,4.0,1604,7
10648,Murdered: Soul Suspect,28,2014.0,0,467,0.06,0.03,0.0,0.01,0.1,70.0,4.0,7.2,57.0,57,5
10649,Army Men World War: Team Assault,15,2001.0,0,4,0.06,0.04,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10650,Deca Sports DS,4,2009.0,10,227,0.07,0.02,0.0,0.01,0.1,57.0,10.0,7.8,4.0,681,1
10651,nail'd,28,2010.0,6,121,0.08,0.02,0.0,0.01,0.1,64.0,49.0,7.1,16.0,1459,2
10652,Tom Clancy's Splinter Cell,6,2003.0,0,528,0.07,0.03,0.0,0.0,0.1,77.0,21.0,8.6,8.0,1547,7
10653,Bullet Witch,28,2006.0,8,53,0.07,0.01,0.02,0.01,0.1,55.0,59.0,6.1,41.0,281,5
10654,Spider-Man: Web of Shadows,4,2008.0,0,21,0.09,0.0,0.0,0.01,0.1,77.0,12.0,7.5,14.0,628,2
10655,Pinball Hall of Fame: The Williams Collection,2,2011.0,3,101,0.09,0.0,0.0,0.01,0.1,67.0,5.0,7.3,8.0,331,2
10656,Rolling Stone: Drum King,26,2009.0,3,6,0.09,0.0,0.0,0.01,0.1,32.0,4.0,1.8,4.0,27,7
10657,NBA Ballers: Rebound,19,2006.0,10,327,0.09,0.0,0.0,0.01,0.1,69.0,17.0,7.7,7.0,152,1
10658,Marvel vs. Capcom: Clash of Super Heroes,3,1999.0,2,85,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10659,Silent Scope Complete,29,2004.0,8,277,0.07,0.02,0.0,0.0,0.1,69.0,25.0,7.4,5.0,815,5
10660,King's Field: The Ancient City,16,2001.0,7,320,0.05,0.04,0.0,0.01,0.1,60.0,14.0,8.5,13.0,552,7
10661,LEGO Rock Raiders,15,1999.0,11,279,0.06,0.04,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10662,Ghost in the Shell,15,1997.0,9,458,0.06,0.04,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10663,Leisure Suit Larry: Box Office Bust,17,2009.0,1,91,0.06,0.03,0.0,0.01,0.1,17.0,11.0,1.7,37.0,1451,5
10664,Attack of the Movies 3D,26,2010.0,8,298,0.09,0.0,0.0,0.01,0.1,39.0,6.0,7.8,4.0,892,7
10665,Monkey Mischief! Party Time,26,2008.0,3,21,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,759,2
10666,Evil Dead: Fistfull of Boomstick,29,2003.0,0,491,0.07,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10667,Tom Clancy's Classic Trilogy,29,2004.0,8,528,0.07,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,5
10668,Harvest Moon DS Cute (jp sales),4,2005.0,9,303,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10669,Little League World Series Baseball 2010,28,2010.0,10,21,0.09,0.0,0.0,0.01,0.1,55.0,4.0,7.8,4.0,1042,1
10670,Indigo Prophecy,29,2005.0,1,53,0.07,0.03,0.0,0.0,0.1,84.0,51.0,7.7,39.0,1158,5
10671,Bleach: Dark Souls (JP sales),4,2007.0,2,448,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10672,Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,4,2007.0,3,64,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10673,Generator Rex: Agent of Providence,2,2011.0,0,21,0.07,0.02,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1604,2
10674,Over the Hedge,29,2006.0,4,21,0.07,0.02,0.0,0.0,0.1,61.0,26.0,7.8,4.0,465,2
10675,Cabela's North American Adventures,19,2010.0,10,21,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,5.0,517,7
10676,World Series of Poker 2008: Battle for the Bracelets,17,2007.0,3,21,0.08,0.01,0.0,0.01,0.1,75.0,6.0,7.8,4.0,840,7
10677,Sneakers,29,2002.0,5,325,0.07,0.02,0.0,0.0,0.1,28.0,13.0,4.6,8.0,912,1
10678,Crime Crackers,15,1994.0,7,458,0.0,0.0,0.09,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10679,NHL 2K6,28,2005.0,10,497,0.09,0.0,0.0,0.01,0.1,75.0,37.0,6.1,24.0,16,2
10680,SCORE International Baja 1000: The Official Game,26,2008.0,6,21,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10681,Micro Machines V3,15,1997.0,6,91,0.06,0.04,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10682,X-Men: Destiny,26,2011.0,0,21,0.07,0.02,0.0,0.01,0.1,36.0,10.0,4.5,15.0,1311,7
10683,College Hoops 2K6,29,2005.0,10,497,0.07,0.02,0.0,0.0,0.1,82.0,17.0,9.2,6.0,16,1
10684,Contact,4,2006.0,7,432,0.07,0.0,0.03,0.01,0.1,73.0,36.0,8.2,35.0,624,2
10685,"Warhammer 40,000: Dawn of War II - Chaos Rising",13,2010.0,11,491,0.08,0.01,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10686,"Sakura Wars 2: Kimi, Shinitamou koto Nakare",3,2000.0,1,448,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10687,Happy Feet Two,4,2008.0,0,552,0.08,0.01,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1628,1
10688,Idol Janshi Suchie-Pai Remix,21,1995.0,3,257,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10689,NBA 2K16,13,2015.0,10,497,0.03,0.06,0.0,0.01,0.1,70.0,4.0,5.7,65.0,16,2
10690,Exhibition Volume 03,29,2003.0,3,325,0.07,0.02,0.0,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10691,Fate/hollow ataraxia,20,2014.0,1,523,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10692,Marvel Super Hero Squad: The Infinity Gauntlet,2,2011.0,0,491,0.07,0.02,0.0,0.01,0.1,54.0,4.0,7.8,4.0,1420,2
10693,Harvey Birdman: Attorney at Law,19,2008.0,1,85,0.09,0.0,0.0,0.01,0.1,62.0,19.0,8,8.0,666,7
10694,Zero4 Champ RR-Z,23,1995.0,6,313,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10695,Initial D: Street Stage,19,2006.0,6,448,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10696,Tales of Innocence R,20,2012.0,7,349,0.0,0.0,0.1,0.0,0.1,70.0,4.0,7.8,4.0,1539,1
10697,Harry Potter and the Deathly Hallows - Part 2,13,2011.0,0,139,0.05,0.04,0.0,0.01,0.1,43.0,12.0,5,56.0,1539,1
10698,Nicktoons: MLB,4,2011.0,10,497,0.09,0.0,0.0,0.01,0.1,70.0,4.0,7.8,4.0,1539,1
10699,Tom Clancy's HAWX 2,26,2010.0,0,528,0.06,0.03,0.0,0.01,0.1,47.0,11.0,7.8,4.0,1539,7
10700,Predator: Concrete Jungle,29,2005.0,0,548,0.07,0.02,0.0,0.0,0.1,46.0,17.0,8,10.0,502,5
